variable_name,kind,sweep_point,aplus_count,watch_count,skip_count,excluded_count,delta_aplus,delta_watch,out_of_range_skip_count,ohlcv_coverage_skip_count,evaluation_error_skip_count
trend_template.min_passes,gate,5,0,65,281,0,0,0,0,5,0
trend_template.min_passes,gate,6,0,65,281,0,0,0,0,5,0
trend_template.min_passes,gate,7,0,65,281,0,0,0,0,5,0
trend_template.min_passes,gate,8,0,61,285,0,0,-4,0,5,0
trend_template.min_passes,gate,9,0,0,0,0,0,-65,346,5,0
vcp.watch_max_fails,gate,0,0,0,346,0,0,-65,0,5,0
vcp.watch_max_fails,gate,1,0,12,334,0,0,-53,0,5,0
vcp.watch_max_fails,gate,2,0,65,281,0,0,0,0,5,0
vcp.watch_max_fails,gate,3,0,202,144,0,0,137,0,5,0
vcp.watch_max_fails,gate,4,0,262,84,0,0,197,0,5,0
trend_template.rising_ma_period_days,threshold_additive,11,0,65,281,0,0,0,0,5,0
trend_template.rising_ma_period_days,threshold_additive,12,0,65,281,0,0,0,0,5,0
trend_template.rising_ma_period_days,threshold_additive,13,0,65,281,0,0,0,0,5,0
trend_template.rising_ma_period_days,threshold_additive,14,0,65,281,0,0,0,0,5,0
trend_template.rising_ma_period_days,threshold_additive,15,0,65,281,0,0,0,0,5,0
trend_template.rising_ma_period_days,threshold_additive,16,0,65,281,0,0,0,0,5,0
trend_template.rising_ma_period_days,threshold_additive,17,0,65,281,0,0,0,0,5,0
trend_template.rising_ma_period_days,threshold_additive,18,0,65,281,0,0,0,0,5,0
trend_template.rising_ma_period_days,threshold_additive,19,0,65,281,0,0,0,0,5,0
trend_template.rising_ma_period_days,threshold_additive,20,0,65,281,0,0,0,0,5,0
trend_template.rising_ma_period_days,threshold_additive,21,0,65,281,0,0,0,0,5,0
trend_template.rising_ma_period_days,threshold_additive,22,0,65,281,0,0,0,0,5,0
trend_template.rising_ma_period_days,threshold_additive,23,0,65,281,0,0,0,0,5,0
trend_template.rising_ma_period_days,threshold_additive,24,0,65,281,0,0,0,0,5,0
trend_template.rising_ma_period_days,threshold_additive,25,0,65,281,0,0,0,0,5,0
trend_template.rising_ma_period_days,threshold_additive,26,0,65,281,0,0,0,0,5,0
trend_template.rising_ma_period_days,threshold_additive,27,0,65,281,0,0,0,0,5,0
trend_template.rising_ma_period_days,threshold_additive,28,0,65,281,0,0,0,0,5,0
trend_template.rising_ma_period_days,threshold_additive,29,0,65,281,0,0,0,0,5,0
trend_template.rising_ma_period_days,threshold_additive,30,0,65,281,0,0,0,0,5,0
trend_template.rising_ma_period_days,threshold_additive,31,0,65,281,0,0,0,0,5,0
trend_template.high_52w_margin_pct,threshold_multiplicative,12.5,0,65,281,0,0,0,0,5,0
trend_template.high_52w_margin_pct,threshold_multiplicative,18.75,0,65,281,0,0,0,0,5,0
trend_template.high_52w_margin_pct,threshold_multiplicative,25.0,0,65,281,0,0,0,0,5,0
trend_template.high_52w_margin_pct,threshold_multiplicative,31.25,0,65,281,0,0,0,0,5,0
trend_template.high_52w_margin_pct,threshold_multiplicative,37.5,0,65,281,0,0,0,0,5,0
trend_template.low_52w_min_pct,threshold_multiplicative,15.0,0,65,281,0,0,0,0,5,0
trend_template.low_52w_min_pct,threshold_multiplicative,22.5,0,65,281,0,0,0,0,5,0
trend_template.low_52w_min_pct,threshold_multiplicative,30.0,0,65,281,0,0,0,0,5,0
trend_template.low_52w_min_pct,threshold_multiplicative,37.5,0,65,281,0,0,0,0,5,0
trend_template.low_52w_min_pct,threshold_multiplicative,45.0,0,65,281,0,0,0,0,5,0
