ticker,asof_date,eval_run_id,cohort_label
YOU,2026-05-22,64,tightness_1.005_flips_67
YOU,2026-05-18,57,tightness_1.005_flips_67
YOU,2026-05-18,56,tightness_1.005_flips_67
YOU,2026-05-18,55,tightness_1.005_flips_67
DK,2026-05-15,54,tightness_1.005_flips_67
DK,2026-05-15,53,tightness_1.005_flips_67
SSRM,2026-05-15,52,tightness_1.005_flips_67
WULF,2026-05-15,52,tightness_1.005_flips_67
TSHA,2026-05-13,45,tightness_1.005_flips_67
NAT,2026-05-12,44,tightness_1.005_flips_67
RLMD,2026-05-12,44,tightness_1.005_flips_67
UCTT,2026-05-12,44,tightness_1.005_flips_67
RLMD,2026-05-11,43,tightness_1.005_flips_67
RLMD,2026-05-11,42,tightness_1.005_flips_67
PTEN,2026-05-08,41,tightness_1.005_flips_67
PTEN,2026-05-08,40,tightness_1.005_flips_67
RLMD,2026-05-04,33,tightness_1.005_flips_67
KOD,2026-05-01,32,tightness_1.005_flips_67
KOD,2026-05-01,31,tightness_1.005_flips_67
KOD,2026-04-30,30,tightness_1.005_flips_67
RLMD,2026-04-30,30,tightness_1.005_flips_67
RNG,2026-04-30,30,tightness_1.005_flips_67
KOD,2026-04-30,29,tightness_1.005_flips_67
RLMD,2026-04-30,29,tightness_1.005_flips_67
RNG,2026-04-30,29,tightness_1.005_flips_67
KOD,2026-04-29,28,tightness_1.005_flips_67
RNG,2026-04-29,28,tightness_1.005_flips_67
TROX,2026-04-29,28,tightness_1.005_flips_67
KOD,2026-04-29,27,tightness_1.005_flips_67
RNG,2026-04-29,27,tightness_1.005_flips_67
TROX,2026-04-29,27,tightness_1.005_flips_67
KOD,2026-04-29,26,tightness_1.005_flips_67
RNG,2026-04-29,26,tightness_1.005_flips_67
TROX,2026-04-29,26,tightness_1.005_flips_67
KOD,2026-04-29,25,tightness_1.005_flips_67
RNG,2026-04-29,25,tightness_1.005_flips_67
TROX,2026-04-29,25,tightness_1.005_flips_67
FRO,2026-04-28,24,tightness_1.005_flips_67
RNG,2026-04-28,24,tightness_1.005_flips_67
YOU,2026-04-28,24,tightness_1.005_flips_67
FRO,2026-04-28,23,tightness_1.005_flips_67
RNG,2026-04-28,23,tightness_1.005_flips_67
YOU,2026-04-28,23,tightness_1.005_flips_67
FRO,2026-04-28,22,tightness_1.005_flips_67
RNG,2026-04-28,22,tightness_1.005_flips_67
YOU,2026-04-28,22,tightness_1.005_flips_67
DNTH,2026-04-27,21,tightness_1.005_flips_67
FRO,2026-04-27,21,tightness_1.005_flips_67
DNTH,2026-04-27,20,tightness_1.005_flips_67
FRO,2026-04-27,20,tightness_1.005_flips_67
DNTH,2026-04-27,19,tightness_1.005_flips_67
FRO,2026-04-27,19,tightness_1.005_flips_67
DNTH,2026-04-24,18,tightness_1.005_flips_67
RLMD,2026-04-24,18,tightness_1.005_flips_67
DNTH,2026-04-24,17,tightness_1.005_flips_67
RLMD,2026-04-24,17,tightness_1.005_flips_67
DNTH,2026-04-24,16,tightness_1.005_flips_67
RLMD,2026-04-24,16,tightness_1.005_flips_67
DNTH,2026-04-24,15,tightness_1.005_flips_67
RLMD,2026-04-24,15,tightness_1.005_flips_67
DNTH,2026-04-23,14,tightness_1.005_flips_67
RLMD,2026-04-23,14,tightness_1.005_flips_67
DNTH,2026-04-23,13,tightness_1.005_flips_67
RLMD,2026-04-23,13,tightness_1.005_flips_67
DNTH,2026-04-23,12,tightness_1.005_flips_67
OII,2026-04-21,10,tightness_1.005_flips_67
OII,2026-04-21,9,tightness_1.005_flips_67
