ticker,asof_date,cohort_label
A,2026-04-21,w_bottom_ruleset_comparison_sp500_apr_may_2026
A,2026-04-29,w_bottom_ruleset_comparison_sp500_apr_may_2026
A,2026-05-13,w_bottom_ruleset_comparison_sp500_apr_may_2026
A,2026-05-22,w_bottom_ruleset_comparison_sp500_apr_may_2026
AAPL,2026-04-21,w_bottom_ruleset_comparison_sp500_apr_may_2026
AAPL,2026-04-29,w_bottom_ruleset_comparison_sp500_apr_may_2026
AAPL,2026-05-13,w_bottom_ruleset_comparison_sp500_apr_may_2026
AAPL,2026-05-22,w_bottom_ruleset_comparison_sp500_apr_may_2026
ABBV,2026-04-21,w_bottom_ruleset_comparison_sp500_apr_may_2026
ABBV,2026-04-29,w_bottom_ruleset_comparison_sp500_apr_may_2026
ABBV,2026-05-13,w_bottom_ruleset_comparison_sp500_apr_may_2026
ABBV,2026-05-22,w_bottom_ruleset_comparison_sp500_apr_may_2026
ABNB,2026-04-21,w_bottom_ruleset_comparison_sp500_apr_may_2026
ABNB,2026-04-29,w_bottom_ruleset_comparison_sp500_apr_may_2026
ABNB,2026-05-13,w_bottom_ruleset_comparison_sp500_apr_may_2026
ABNB,2026-05-22,w_bottom_ruleset_comparison_sp500_apr_may_2026
ABT,2026-04-21,w_bottom_ruleset_comparison_sp500_apr_may_2026
ABT,2026-04-29,w_bottom_ruleset_comparison_sp500_apr_may_2026
ABT,2026-05-13,w_bottom_ruleset_comparison_sp500_apr_may_2026
ABT,2026-05-22,w_bottom_ruleset_comparison_sp500_apr_may_2026
ACGL,2026-04-21,w_bottom_ruleset_comparison_sp500_apr_may_2026
ACGL,2026-04-29,w_bottom_ruleset_comparison_sp500_apr_may_2026
ACGL,2026-05-13,w_bottom_ruleset_comparison_sp500_apr_may_2026
ACGL,2026-05-22,w_bottom_ruleset_comparison_sp500_apr_may_2026
ACN,2026-04-21,w_bottom_ruleset_comparison_sp500_apr_may_2026
ACN,2026-04-29,w_bottom_ruleset_comparison_sp500_apr_may_2026
ACN,2026-05-13,w_bottom_ruleset_comparison_sp500_apr_may_2026
ACN,2026-05-22,w_bottom_ruleset_comparison_sp500_apr_may_2026
ADBE,2026-04-21,w_bottom_ruleset_comparison_sp500_apr_may_2026
ADBE,2026-04-29,w_bottom_ruleset_comparison_sp500_apr_may_2026
ADBE,2026-05-13,w_bottom_ruleset_comparison_sp500_apr_may_2026
ADBE,2026-05-22,w_bottom_ruleset_comparison_sp500_apr_may_2026
ADI,2026-04-21,w_bottom_ruleset_comparison_sp500_apr_may_2026
ADI,2026-04-29,w_bottom_ruleset_comparison_sp500_apr_may_2026
ADI,2026-05-13,w_bottom_ruleset_comparison_sp500_apr_may_2026
