ruleset_name,substrate_name,n_patterns,n_triggered,n_closed,expectancy_R,win_rate,avg_win_R,avg_loss_R,profit_factor,trigger_conversion_rate,median_time_in_trade_sessions,open_at_tail_count,open_at_tail_rate,estimated_dollar_per_period,substrate_window_days
A_minervini_trail_ma,r2a_canonical_n65,65,62,45,-0.234286,0.000000,,0.234286,0.000000,0.953846,4,17,0.274194,-18935.366952,21
B_fixed_R_multiple,r2a_canonical_n65,65,62,1,-1.315577,0.000000,,1.315577,0.000000,0.953846,4,61,0.983871,-106326.777551,21
C_close_below_50d,r2a_canonical_n65,65,62,45,-0.234286,0.000000,,0.234286,0.000000,0.953846,4,17,0.274194,-18935.366952,21
D_minervini_stage2_progression,r2a_canonical_n65,65,62,1,-1.315577,0.000000,,1.315577,0.000000,0.953846,4,61,0.983871,-106326.777551,21
E_oneil_cup_with_handle_measured_move,r2a_canonical_n65,65,62,40,-1.085964,0.225000,0.511841,1.549843,0.095880,0.953846,4.000000,22,0.354839,-87769.137884,21
F_qullamaggie_momentum_burst,r2a_canonical_n65,65,62,56,-0.154159,0.000000,,0.154159,0.000000,0.953846,5.000000,6,0.096774,-12459.334551,21
G_bulkowski_double_bottom,r2a_canonical_n65,65,55,48,-0.604421,0.020833,0.046448,0.618270,0.001598,0.846154,0.000000,7,0.127273,-43334.853939,21
H_oneil_double_bottom_base,r2a_canonical_n65,65,25,23,-3.133901,0.043478,0.213157,3.286041,0.002949,0.384615,0,2,0.080000,-102131.610714,21
I_edwards_magee_classical_double_bottom,r2a_canonical_n65,65,34,28,-0.491283,0.107143,0.056751,0.557047,0.012225,0.523077,0.000000,6,0.176471,-21774.379132,21
A_minervini_trail_ma,d2_expanded,42,38,30,-0.273727,0.100000,0.008630,0.305100,0.003143,0.904762,4.000000,8,0.210526,-9185.309027,31
B_fixed_R_multiple,d2_expanded,42,38,0,,,,,,0.904762,,38,1.000000,,31
C_close_below_50d,d2_expanded,42,38,30,-0.273727,0.100000,0.008630,0.305100,0.003143,0.904762,4.000000,8,0.210526,-9185.309027,31
D_minervini_stage2_progression,d2_expanded,42,38,0,,,,,,0.904762,,38,1.000000,,31
E_oneil_cup_with_handle_measured_move,d2_expanded,42,38,29,-0.799540,0.275862,1.237389,1.575512,0.299195,0.904762,2,9,0.236842,-26829.714954,31
F_qullamaggie_momentum_burst,d2_expanded,42,38,26,-0.145698,0.000000,,0.145698,0.000000,0.904762,5.000000,12,0.315789,-4889.098074,31
G_bulkowski_double_bottom,d2_expanded,42,29,24,-0.559887,0.000000,,0.559887,0.000000,0.690476,0.000000,5,0.172414,-14338.070676,31
H_oneil_double_bottom_base,d2_expanded,42,12,12,-2.143197,0.000000,,2.143197,0.000000,0.285714,0.000000,0,0.000000,-22710.979011,31
I_edwards_magee_classical_double_bottom,d2_expanded,42,13,11,-0.563912,0.090909,0.026358,0.622939,0.004231,0.309524,0,2,0.153846,-6473.623623,31
