exemplar_id,ticker,timing_mode,h1_outcome,best_bucket,first_rejecting_gate,h2_fired_faithful,h2_fired_isolated,fired_classes_faithful,fired_classes_isolated,rs_path,data_source,n_bars,screenable,h2_anchor_mode_limited_possible,h2_anchor_mode_limited_reason
twosmw-fig10-34-crus,CRUS,single_session,skip_gate_rejection,skip,vcp,False,False,high_tight_flag,high_tight_flag,P0,tiingo,5045,True,False,
twosmw-fig10-34-crus,CRUS,window_sweep,surfaced_watch,watch,vcp,True,True,high_tight_flag;vcp,cup_with_handle;flat_base;high_tight_flag;vcp,P0,tiingo,4985,True,False,
twosmw-gra-2004,GRA,single_session,skip_gate_rejection,skip,vcp,None,None,,,P0,tiingo,4959,True,False,
twosmw-gra-2004,GRA,window_sweep,surfaced_watch,watch,trend_template_min_passes,None,None,high_tight_flag;vcp,high_tight_flag;vcp,P0,tiingo,4922,True,False,
twosmw-pcyc-2010,PCYC,single_session,skip_gate_rejection,skip,vcp,None,None,,,P0,tiingo,3596,True,False,
twosmw-pcyc-2010,PCYC,window_sweep,surfaced_watch,watch,trend_template,None,None,high_tight_flag;vcp,high_tight_flag;vcp,P0,tiingo,3536,True,False,
twosmw-affy-2012,AFFY,single_session,skip_gate_rejection,skip,vcp,False,False,,high_tight_flag,P0,tiingo,1424,True,False,
twosmw-affy-2012,AFFY,window_sweep,surfaced_aplus,aplus,vcp,False,True,high_tight_flag,high_tight_flag;vcp,P0,tiingo,1365,True,False,
twosmw-fig10-40-lulu,LULU,single_session,skip_gate_rejection,skip,vcp,False,False,,high_tight_flag,P0,tiingo,828,True,False,
twosmw-fig10-40-lulu,LULU,window_sweep,surfaced_aplus,aplus,trend_template_min_passes,False,False,,high_tight_flag;vcp,P0,tiingo,814,True,False,
ttlc-nflx-2009,NFLX,single_session,skip_gate_rejection,skip,vcp,False,False,,high_tight_flag,P0,tiingo,1864,True,False,
ttlc-nflx-2009,NFLX,window_sweep,surfaced_watch,watch,vcp,False,True,,high_tight_flag;vcp,P0,tiingo,1807,True,False,
twosmw-tasr-2004,AXON,single_session,skip_gate_rejection,skip,vcp,False,False,high_tight_flag,high_tight_flag,P0,tiingo,650,True,False,
twosmw-tasr-2004,AXON,window_sweep,surfaced_watch,watch,vcp,False,False,high_tight_flag,high_tight_flag,P0,tiingo,611,True,False,
ttlc-fig10-1-body,BODY,single_session,skip_insufficient_history,skip,,False,False,,,P1,tiingo,57,False,False,
ttlc-fig10-1-body,BODY,window_sweep,skip_insufficient_history,skip,,False,False,,high_tight_flag,P1,tiingo,1,False,False,
twosmw-fig10-44-syk,SYK,single_session,surfaced_watch,watch,,False,True,,high_tight_flag;vcp,P0,tiingo,1751,True,False,
twosmw-fig10-44-syk,SYK,window_sweep,surfaced_watch,watch,trend_template_min_passes,False,True,,cup_with_handle;high_tight_flag;vcp,P0,tiingo,1732,True,False,
twosmw-fig10-62-bby,BBY,single_session,skip_gate_rejection,skip,vcp,False,False,high_tight_flag,high_tight_flag,P0,tiingo,3211,True,False,
twosmw-fig10-62-bby,BBY,window_sweep,surfaced_watch,watch,vcp,True,True,high_tight_flag;vcp,high_tight_flag;vcp,P0,tiingo,3153,True,False,
twosmw-fig10-61-qsii,QSII,single_session,skip_insufficient_history,skip,,False,False,,,P1,tiingo,25,False,False,
twosmw-fig10-61-qsii,QSII,window_sweep,skip_insufficient_history,skip,,False,False,,,P1,tiingo,1,False,False,
twosmw-fig10-29-amsc,AMSC,single_session,surfaced_watch,watch,,False,False,,,P0,tiingo,3037,True,False,
twosmw-fig10-29-amsc,AMSC,window_sweep,surfaced_watch,watch,trend_template,False,True,high_tight_flag,high_tight_flag;vcp,P0,tiingo,3021,True,False,
twosmw-fig10-30-ipxl,IPXL,single_session,surfaced_watch,watch,,False,False,,high_tight_flag,P0,tiingo,2024,True,False,
twosmw-fig10-30-ipxl,IPXL,window_sweep,surfaced_watch,watch,vcp,False,True,,high_tight_flag;vcp,P0,tiingo,1970,True,False,
twosmw-fig10-24-vci,VCI,single_session,skip_gate_rejection,skip,vcp,False,False,,high_tight_flag,P0,tiingo,743,True,False,
twosmw-fig10-24-vci,VCI,window_sweep,surfaced_watch,watch,vcp,True,True,high_tight_flag;vcp,high_tight_flag;vcp,P0,tiingo,689,True,False,
twosmw-fig10-33-meli,MELI,single_session,skip_insufficient_history,skip,,False,False,,,P0,tiingo,85,False,False,
