pattern_id,ticker,ruleset_name,anchor_asof_date,effective_asof_date,max_observed_asof_date,trough_1_date,center_peak_price,trough_2_price,initial_stop,composite_score,triggered,entry_date,entry_price,exit_date,exit_price,exit_reason,r_multiple,trade_pnl_dollars,peak_unrealized_R,drawdown_to_exit_R,days_held,status,forward_bars_available,max_forward_close,max_close_pct_of_peak,days_t2_to_asof
CNC-2026-03-13,CNC,A_minervini_trail_ma,2026-05-22,2026-05-22,2026-05-22,2026-03-13,36.1600,31.8000,31.4820,0.7270,false,,,,,untriggered,,,,,,untriggered,0,,,53
CNC-2026-03-13,CNC,B_fixed_R_multiple,2026-05-22,2026-05-22,2026-05-22,2026-03-13,36.1600,31.8000,31.4820,0.7270,false,,,,,untriggered,,,,,,untriggered,0,,,53
CNC-2026-03-13,CNC,C_close_below_50d,2026-05-22,2026-05-22,2026-05-22,2026-03-13,36.1600,31.8000,31.4820,0.7270,false,,,,,untriggered,,,,,,untriggered,0,,,53
CNC-2026-03-13,CNC,D_minervini_stage2_progression,2026-05-22,2026-05-22,2026-05-22,2026-03-13,36.1600,31.8000,31.4820,0.7270,false,,,,,untriggered,,,,,,untriggered,0,,,53
CNC-2026-03-13,CNC,E_oneil_cup_with_handle_measured_move,2026-05-22,2026-05-22,2026-05-22,2026-03-13,36.1600,31.8000,31.4820,0.7270,false,,,,,untriggered,,,,,,untriggered,0,,,53
CNC-2026-03-13,CNC,F_qullamaggie_momentum_burst,2026-05-22,2026-05-22,2026-05-22,2026-03-13,36.1600,31.8000,31.4820,0.7270,false,,,,,untriggered,,,,,,untriggered,0,,,53
HPE-2026-02-23,HPE,A_minervini_trail_ma,2026-05-13,2026-05-13,2026-05-13,2026-02-23,25.7800,22.6100,22.3839,0.7640,true,2026-05-15,33.6600,2026-05-22,37.5800,open_at_data_tail,0.3476,13.04,0.3623,0.0146,5,open,7,37.5800,145.8,44
HPE-2026-02-23,HPE,B_fixed_R_multiple,2026-05-13,2026-05-13,2026-05-13,2026-02-23,25.7800,22.6100,22.3839,0.7640,true,2026-05-15,33.6600,2026-05-22,37.5800,open_at_data_tail,0.3476,13.04,0.3623,0.0146,5,open,7,37.5800,145.8,44
HPE-2026-02-23,HPE,C_close_below_50d,2026-05-13,2026-05-13,2026-05-13,2026-02-23,25.7800,22.6100,22.3839,0.7640,true,2026-05-15,33.6600,2026-05-22,37.5800,open_at_data_tail,0.3476,13.04,0.3623,0.0146,5,open,7,37.5800,145.8,44
HPE-2026-02-23,HPE,D_minervini_stage2_progression,2026-05-13,2026-05-13,2026-05-13,2026-02-23,25.7800,22.6100,22.3839,0.7640,true,2026-05-15,33.6600,2026-05-22,37.5800,open_at_data_tail,0.3476,13.04,0.3623,0.0146,5,open,7,37.5800,145.8,44
HPE-2026-02-23,HPE,E_oneil_cup_with_handle_measured_move,2026-05-13,2026-05-13,2026-05-13,2026-02-23,25.7800,22.6100,30.9672,0.7640,true,2026-05-15,33.6600,2026-05-22,37.5800,open_at_data_tail,1.4557,54.59,1.5170,0.0613,5,open,7,37.5800,145.8,44
HPE-2026-02-23,HPE,F_qullamaggie_momentum_burst,2026-05-13,2026-05-13,2026-05-13,2026-02-23,25.7800,22.6100,22.3839,0.7640,true,2026-05-15,33.6600,2026-05-22,34.6500,momentum_gate_fail,0.0878,3.29,0.3623,0.2745,5,closed,7,37.5800,145.8,44
INTC-2026-03-03,INTC,A_minervini_trail_ma,2026-04-29,2026-05-22,2026-05-22,2026-03-03,47.9800,41.1900,40.7781,0.9333,false,,,,,untriggered,,,,,,untriggered,0,,,53
