criterion,count,fraction_of_evaluations
<aplus>,10,0.000039
TT1_above_150_200,109139,0.421909
TT2_150_above_200,30437,0.117663
TT5_above_50,28503,0.110187
adr,22202,0.085828
ma_stack_10_20_50,18270,0.070628
TT6_above_52w_low_30pct,12453,0.048141
proximity_20ma,11072,0.042802
TT4_50_above_150_200,10035,0.038793
ma_short_rising,6820,0.026365
prior_trend,4533,0.017524
TT3_200_rising,4343,0.016789
tightness,717,0.002772
TT7_within_52w_high_25pct,115,0.000445
vcp_volume_contraction,28,0.000108
orderliness,1,0.000004
risk_feasibility,1,0.000004
