criterion,count,fraction_of_evaluations
<aplus>,10,0.000039
TT1_above_150_200,107774,0.416632
TT2_150_above_200,30243,0.116913
TT5_above_50,28096,0.108613
adr,22013,0.085098
ma_stack_10_20_50,18000,0.069584
TT6_above_52w_low_30pct,12334,0.047681
proximity_20ma,10607,0.041004
TT4_50_above_150_200,9931,0.038391
ma_short_rising,6712,0.025947
prior_trend,4441,0.017168
TT3_200_rising,4336,0.016762
risk_feasibility,3367,0.013016
tightness,677,0.002617
TT7_within_52w_high_25pct,111,0.000429
vcp_volume_contraction,26,0.000101
orderliness,1,0.000004
