criterion,count,fraction_of_evaluations
<aplus>,112,0.000089
TT1_above_150_200,579576,0.460429
TT2_150_above_200,149801,0.119005
TT5_above_50,107829,0.085662
risk_feasibility,86969,0.069090
ma_stack_10_20_50,74453,0.059147
adr,58152,0.046197
proximity_20ma,53719,0.042676
TT4_50_above_150_200,36486,0.028985
TT6_above_52w_low_30pct,28688,0.022790
ma_short_rising,28162,0.022373
TT3_200_rising,24578,0.019525
prior_trend,16326,0.012970
tightness,8975,0.007130
TT7_within_52w_high_25pct,4493,0.003569
vcp_volume_contraction,400,0.000318
orderliness,55,0.000044
