criterion,count,fraction_of_evaluations
<aplus>,123,0.000098
TT1_above_150_200,614759,0.488379
TT2_150_above_200,158660,0.126043
TT5_above_50,118235,0.093929
ma_stack_10_20_50,80847,0.064227
adr,63743,0.050639
proximity_20ma,63248,0.050246
TT4_50_above_150_200,39702,0.031540
ma_short_rising,30731,0.024413
TT6_above_52w_low_30pct,29848,0.023712
TT3_200_rising,25660,0.020385
prior_trend,17870,0.014196
tightness,10098,0.008022
TT7_within_52w_high_25pct,4751,0.003774
vcp_volume_contraction,441,0.000350
orderliness,57,0.000045
risk_feasibility,1,0.000001
