criterion,count,fraction_of_evaluations
<aplus>,123,0.000098
TT1_above_150_200,613058,0.487028
TT2_150_above_200,158290,0.125749
TT5_above_50,117697,0.093501
ma_stack_10_20_50,80533,0.063977
adr,63532,0.050471
proximity_20ma,62641,0.049764
TT4_50_above_150_200,39650,0.031499
ma_short_rising,30610,0.024317
TT6_above_52w_low_30pct,29661,0.023563
TT3_200_rising,25638,0.020367
prior_trend,17746,0.014098
tightness,10049,0.007983
TT7_within_52w_high_25pct,4735,0.003762
risk_feasibility,4315,0.003428
vcp_volume_contraction,439,0.000349
orderliness,57,0.000045
