criterion,count,fraction_of_evaluations
<aplus>,35,0.000047
TT1_above_150_200,349330,0.465500
TT2_150_above_200,94084,0.125372
TT5_above_50,73704,0.098214
ma_stack_10_20_50,50390,0.067147
adr,49539,0.066013
proximity_20ma,34042,0.045363
TT4_50_above_150_200,24835,0.033094
TT6_above_52w_low_30pct,23802,0.031717
ma_short_rising,19016,0.025340
TT3_200_rising,15073,0.020086
prior_trend,12328,0.016428
tightness,3307,0.004407
TT7_within_52w_high_25pct,751,0.001001
vcp_volume_contraction,173,0.000231
orderliness,20,0.000027
risk_feasibility,11,0.000015
