criterion,count,fraction_of_evaluations
<aplus>,35,0.000047
TT1_above_150_200,319193,0.425341
TT2_150_above_200,86590,0.115386
risk_feasibility,72419,0.096502
TT5_above_50,65533,0.087326
ma_stack_10_20_50,45118,0.060122
adr,44426,0.059200
proximity_20ma,26497,0.035309
TT6_above_52w_low_30pct,22993,0.030639
TT4_50_above_150_200,22110,0.029463
ma_short_rising,16931,0.022561
TT3_200_rising,14135,0.018836
prior_trend,11149,0.014857
tightness,2470,0.003291
TT7_within_52w_high_25pct,679,0.000905
vcp_volume_contraction,144,0.000192
orderliness,18,0.000024
